number,code,name
02,AR-B,Buenos Aires
03,AR-K,Catamarca
06,AR-H,Chaco
07,AR-U,Chubut
01,AR-C,Ciudad Autónoma de Buenos Aires
05,AR-W,Corrientes
04,AR-X,Córdoba
08,AR-E,Entre Ríos
09,AR-P,Formosa
10,AR-Y,Jujuy
11,AR-L,La Pampa
12,AR-F,La Rioja
13,AR-M,Mendoza
14,AR-N,Misiones
15,AR-Q,Neuquén
16,AR-R,Río Negro
17,AR-A,Salta
18,AR-J,San Juan
19,AR-D,San Luis
20,AR-Z,Santa Cruz
21,AR-S,Santa Fe
22,AR-G,Santiago del Estero
24,AR-V,Tierra del Fuego
23,AR-T,Tucumán
